KAM-Spec 2017
Date:,11/10/2017
Time:,01:30:49
 
 
 
 
Absorbance
 ,Exposure Time:,10 ms
 ,Wavelength:,400 nm
 
5717,5662
5585,5722
5657,5680
5759,5732
5758,5903
5674,5771
5904,5935
6027,5835
5814,5745
5786,5897
5806,5786
5710,5768
5774,5864
5848,5899
5776,5804
5907,5802
5848,5925
5919,5800
6098,5802
5965,5893
5802,5828
5908,5773
5903,6035
5799,5988
5863,5897
5810,5914
5884,5872
5874,5925
5869,5826
5767,5999
5961,6016
5900,5898
5803,5924
6074,6078
6034,6124
5898,5981
6075,6052
6030,5972
6074,6061
5919,6123
5938,6066
5886,6112
6109,6080
6095,6109
6088,6070
6107,6050
6142,5982
6075,6150
6142,6124
6026,6142
6205,6141
6150,6064
6166,6189
6062,6006
6150,6171
6301,6174
6400,6305
6292,6134
6157,6191
6077,6244
6168,6187
6011,6244
6401,6286
6232,6297
6499,6220
6190,6251
6235,6260
6382,6465
6236,6372
6197,6400
6075,6198
6258,6302
6270,6123
6109,6211
6383,6317
6437,6194
6123,6252
6275,6315
6172,6162
6519,6506
6359,6319
6444,6401
6313,6388
6329,6425
6267,6330
6420,6439
6526,6542
6380,6321
6407,6488
6563,6501
6497,6478
6379,6284
6435,6459
6181,6413
6423,6461
6412,6468
6424,6236
6367,6385
6408,6333
6296,6376
6388,6357
6440,6366
6564,6680
6642,6683
6529,6832
6612,6551
6829,6572
6767,6759
6661,6470
6554,6604
6845,6656
6551,6768
6582,6789
6593,6621
6495,6805
6663,6689
6604,6737
6747,6733
6788,6606
6788,6848
6994,6679
6696,6857
6808,6718
6842,6825
6726,6686
6834,6823
6739,6821
6934,7021
6745,6895
6887,6847
6655,6892
6781,7026
6888,6809
6888,6962
6909,6937
6866,6989
7130,6948
6956,6930
7020,6917
7085,7038
7027,6811
6836,6993
6912,6914
7205,7023
6966,6775
7184,7040
7007,7034
6995,7017
6878,7070
7148,7032
6990,7242
6987,7073
7091,7059
6941,7064
6954,7025
7209,7038
7129,7018
7172,7220
7140,7154
7068,7227
7104,7132
6983,7226
7279,7186
7212,7225
7314,7180
7111,7236
7244,7214
7437,7387
7272,7456
7327,7360
7235,7178
7209,7400
7400,7109
7274,7374
7428,7343
7213,7306
7494,7306
7244,7239
7200,7210
7318,7325
7347,7200
7191,7304
7424,7480
7380,7468
7367,7412
7480,7483
7343,7236
7224,7508
7350,7417
7486,7413
7558,7578
7406,7439
7413,7401
7689,7350
7481,7380
7458,7532
7707,7439
7480,7533
7518,7451
7513,7515
7412,7597
7506,7432
7622,7709
7550,7355
7431,7626
