KAM-Spec 2017
Date:,11/10/2017
Time:,01:33:26
 
 
 
 
Absorbance
 ,Exposure Time:,10 ms
 ,Wavelength:,400 nm
 
5708,5727,5718
5726,5731,5869
5947,5744,5987
5761,5717,5631
5695,5717,5721
5780,5780,5714
5802,5750,5785
5891,5825,5802
5839,5860,5723
5806,5747,5868
5812,5867,5702
5889,5901,5867
5885,5814,5899
5849,5787,5793
5903,5958,5920
5954,5806,5764
5805,5836,5959
5908,5899,5835
5992,5913,6061
5757,5855,5940
6045,5948,5993
5810,5759,5775
6116,5955,6066
5882,5882,5972
5953,5877,5993
5756,5857,5938
5888,6072,6025
5980,5855,5877
5632,5890,5908
5919,5984,5992
6082,6049,6171
5837,5926,6015
6038,5885,6010
5923,6025,5888
5908,5950,6117
6082,5849,6159
6125,5882,6239
5981,5950,6094
6021,5962,6132
5912,6054,6033
6051,5961,5926
5924,6210,6009
6128,5984,6160
6097,6085,6043
6181,6079,6126
6057,6162,6089
6224,6139,6166
6078,6003,6150
6146,6100,6037
6170,6231,6116
6098,6043,6196
6284,6203,6235
6039,6058,6229
6101,6078,6043
6116,6262,6132
6188,6270,6126
6007,6182,6210
6208,6072,6155
6302,6441,6304
6214,6202,6132
6346,6117,6284
6194,6164,6135
6136,6238,6170
6266,6387,6208
6254,6332,6240
6328,6286,6188
6248,6310,6230
6218,6234,6309
6323,6277,6362
6320,6209,6312
6373,6357,6241
6355,6418,6376
6306,6174,6136
6377,6162,6385
6202,6295,6335
6351,6217,6410
6134,6208,6186
6324,6462,6266
6401,6303,6257
6357,6400,6418
6481,6376,6276
6361,6371,6347
6431,6381,6388
6522,6429,6417
6276,6491,6415
6542,6461,6345
6586,6367,6298
6421,6485,6544
6633,6413,6643
6304,6357,6462
6565,6443,6401
6527,6485,6611
6436,6567,6468
6434,6506,6475
6340,6512,6364
6461,6447,6312
6374,6338,6353
6218,6257,6291
6249,6373,6363
6287,6336,6316
6454,6321,6283
6483,6498,6309
6477,6645,6570
6659,6606,6559
6728,6657,6722
6766,6698,6768
6772,6633,6673
6468,6740,6686
6608,6524,6487
6628,6657,6702
6564,6637,6620
6729,6648,6931
6679,6689,6842
6636,6680,6652
6730,6774,6810
6596,6897,6690
6641,6843,6788
6828,6739,6688
6803,6848,6749
6784,6774,6876
6590,6770,6884
6725,6546,6750
6675,6697,6822
6908,6799,6792
6887,6748,6846
6909,6725,6855
6859,6823,6787
6882,6778,6773
6904,6639,6770
6960,6939,6860
6755,6836,6825
7068,6938,6905
6875,6766,6886
6854,6733,6931
6877,6877,6972
6996,6953,6778
6942,6842,7071
6959,7028,6961
6752,6937,6944
6827,6873,6965
6947,7028,7087
7001,7029,6949
7006,6938,7118
6901,7026,7113
7096,6976,7061
6879,6930,7101
7039,7085,7058
7019,7035,6912
6893,7135,7190
7066,6923,7101
7116,7206,7126
7215,7119,7220
7063,7095,6973
7171,7182,7189
6997,7236,7058
7193,6879,7056
7266,7060,7277
7055,6994,6958
7123,7261,7107
7093,7149,7231
7219,7038,7164
7286,7300,7159
7115,7364,7260
7163,7124,7103
7153,7215,7157
7187,7087,7141
7295,7238,7146
7296,7272,7278
7325,7109,7316
7183,7451,7397
7117,7206,7111
7204,7203,7274
7316,7158,7433
7329,7146,7506
7252,7308,7350
7057,7295,7380
7198,7265,7301
7387,7264,7401
7279,7253,7235
7304,7121,7371
7347,7410,7337
7459,7398,7435
7340,7323,7453
7469,7258,7415
7371,7404,7442
7262,7273,7405
7488,7332,7530
7278,7331,7399
7466,7488,7458
7473,7371,7301
7377,7348,7410
7550,7450,7477
7361,7626,7480
7515,7505,7471
7410,7482,7405
7479,7726,7323
7562,7530,7371
7594,7701,7672
7282,7271,7536
7433,7543,7654
7457,7834,7492
7538,7582,7703
7566,7569,7664
7670,7529,7592
7535,7622,7540
7590,7860,7742
7593,7550,7613
7530,7690,7647
7553,7442,7648
7543,7567,7749
7615,7511,7714
7620,7626,7570
7620,7513,7690
7915,7663,7474
7392,7815,7458
7755,7885,7906
7546,7855,7580
7712,7655,7673
7766,7811,7762
7642,7668,7770
7733,7696,7801
7837,7907,7707
7779,7783,7880
7674,7785,7748
7700,7924,7949
7743,7901,7856
7865,7829,7923
8043,7802,7779
7820,7753,7908
7924,7814,7985
7927,7832,7821
7803,7862,7913
7769,7841,7988
7918,7933,7840
7991,7819,7935
7951,7819,7792
7958,7931,8100
7861,7979,7941
7925,8033,8068
7868,7838,7925
7879,7895,7970
7919,7942,8014
8032,7866,8068
7819,7903,8114
7957,8149,8120
7949,8141,8174
8002,7942,8077
8171,8130,8015
8076,8146,8139
7966,8023,8177
8168,8084,8138
8044,8076,8121
8111,8184,8144
8166,8161,8124
7994,8098,8123
8346,8136,8248
8325,8234,8180
8168,8385,8290
8137,8277,8080
8206,8186,8182
8453,8210,7985
8260,8195,8225
8155,8290,8224
8238,8187,8200
8192,8267,8347
8300,8299,8187
8343,8130,8361
8278,8372,8201
8243,8192,8350
8394,8213,8544
8324,8314,8495
8344,8621,8503
8367,8255,8445
8193,8338,8300
8327,8277,8626
8366,8461,8426
8631,8405,8366
8482,8454,8500
8566,8248,8365
8598,8561,8508
8460,8326,8392
8439,8443,8384
8462,8305,8604
8300,8442,8467
8343,8508,8399
8650,8457,8610
8401,8420,8473
8405,8450,8404
8418,8490,8389
8348,8525,8367
8349,8361,8283
8335,8512,8315
8337,8388,8336
8442,8384,8229
8508,8592,8544
8555,8532,8344
8587,8598,8791
8676,8672,8906
8706,8610,8900
8594,8698,8597
8702,8906,8487
8741,8520,8562
8736,8810,8778
8690,8777,8747
8980,8560,8842
8686,8682,8673
8658,8887,8544
8605,8781,8790
8854,8753,8729
8828,8809,8932
8748,8648,8837
8830,8732,8859
8685,8785,8909
9096,8666,8797
8856,8834,8946
8752,8782,8949
8842,9072,8953
8858,8863,8773
8690,8923,8795
8963,8751,9048
8820,8925,9044
8819,9084,8815
9007,9046,8951
8980,9095,8872
8967,8987,8969
9164,9015,8810
9205,8973,9156
8986,9146,8995
9077,9009,9087
9109,8701,9082
9003,9001,9000
9001,8990,9120
8957,9136,8913
8982,9046,9117
9221,8942,8887
9070,9024,9048
9052,8937,9134
9144,9116,9167
9057,9000,9188
8971,9160,9225
9402,9082,9036
9314,9116,9241
9238,9394,9086
9146,9183,9330
9234,9060,9271
9107,9152,9196
9109,8966,9012
9174,8898,9052
9308,8810,9097
9089,8952,9003
9237,9080,9098
9229,9109,9126
9121,9044,9127
8989,9177,9151
9174,9147,9240
9353,9281,9271
9408,9362,9370
9288,9106,9351
9402,9476,9525
9579,9389,9458
9507,9178,9511
9514,9466,9436
9396,9590,9553
9588,9270,9484
9335,9479,9695
9341,9451,9460
9355,9576,9474
9417,9590,9517
9472,9494,9538
9641,9502,9339
9419,9579,9596
9569,9508,9537
9566,9661,9444
9501,9693,9467
9580,9646,9611
9709,9485,9775
9476,9668,9736
9769,9784,9581
9702,9704,9724
9625,9554,9787
9856,9682,9784
9818,9556,9693
9651,9689,9839
9568,9917,9741
9749,9800,9797
9899,9533,9857
9764,9679,9889
9700,9634,10035
9844,9764,9840
9775,9778,9931
9817,9640,10014
9651,9803,9796
9776,9701,9920
9794,9847,9845
9963,9839,9750
10001,9832,9792
