,1,1.5,2,2.5,3,3.5,4,4.5,5
0,5,5,5,5,5,5,5,5,5
0.2,5.89277,5.41406,4.9775,4.57913,4.21537,3.88298,3.579,3.32642,3.04581
0.4,6.63775,5.72822,4.96196,4.31409,3.76406,3.29481,2.89224,2.57592,2.24237
0.6,7.25588,5.96571,4.95122,4.14603,3.49988,2.97467,2.54142,2.21037,1.86747
0.8,7.76716,6.14483,4.9438,4.03888,3.343,2.79528,2.35283,2.01772,1.66927
1,8.18926,6.27972,4.93867,3.97031,3.24883,2.69255,2.24747,1.90991,1.5538
1.2,8.53731,6.3812,4.93513,3.92631,3.19189,2.63285,2.18706,1.84704,1.48168
1.4,8.82408,6.45749,4.93268,3.89802,3.1573,2.59782,2.15184,1.80939,1.43439
1.6,9.0602,6.51482,4.93099,3.87981,3.13622,2.57714,2.13109,1.78644,1.40231
1.8,9.25454,6.55788,4.92982,3.86808,3.12335,2.5649,2.11879,1.77229,1.38001
2,9.41444,6.59021,4.92901,3.86053,3.11548,2.55763,2.11147,1.76352,1.36424
2.2,9.54597,6.61449,4.92845,3.85565,3.11066,2.55331,2.1071,1.75806,1.35295
2.4,9.65414,6.63271,4.92806,3.85251,3.10771,2.55074,2.10449,1.75464,1.34479
2.6,9.7431,6.64639,4.92779,3.85048,3.10591,2.54921,2.10294,1.7525,1.33885
2.8,9.81624,6.65666,4.92761,3.84918,3.1048,2.5483,2.102,1.75116,1.33452
3,9.87636,6.66436,4.92748,3.84833,3.10413,2.54776,2.10144,1.75032,1.33133
3.2,9.92579,6.67014,4.92739,3.84779,3.10371,2.54743,2.10111,1.7498,1.32899
3.4,9.96643,6.67448,4.92733,3.84744,3.10346,2.54724,2.10091,1.74947,1.32727
3.6,9.99983,6.67774,4.92729,3.84721,3.1033,2.54713,2.10079,1.74926,1.326
3.8,10.0273,6.68018,4.92726,3.84707,3.10321,2.54706,2.10072,1.74913,1.32506
4,10.0498,6.68202,4.92724,3.84697,3.10315,2.54702,2.10068,1.74905,1.32436
4.2,10.0684,6.68339,4.92722,3.84691,3.10311,2.54699,2.10065,1.749,1.32385
4.4,10.0836,6.68442,4.92722,3.84687,3.10309,2.54698,2.10064,1.74896,1.32347
4.6,10.0962,6.6852,4.92721,3.84685,3.10308,2.54697,2.10063,1.74894,1.32319
4.8,10.1065,6.68578,4.9272,3.84683,3.10307,2.54696,2.10062,1.74893,1.32298
5,10.1149,6.68622,4.9272,3.84682,3.10307,2.54696,2.10062,1.74892,1.32282
5.2,10.1219,6.68654,4.9272,3.84681,3.10306,2.54696,2.10062,1.74892,1.32271
5.4,10.1276,6.68679,4.9272,3.84681,3.10306,2.54696,2.10061,1.74892,1.32262
